Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
KOTA MAKASSAR,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"41,311,397"
BENGKALIS,Rawat Inap RS per 100.000 penduduk/ minggu,RIAU,31/08/2021,"11,021,044"
MELAWI,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"12,081,283"
LUWU UTARA,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"9,117,662"
PIDIE,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"23,172,005"
PONOROGO,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"16,498,782"
ACEH SELATAN,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"7,394,262"
SINJAI,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"6,400,905"
MINAHASA,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"30,847,222"
KOTA KOTAMOBAGU,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"28,336,946"
MANOKWARI,Rawat Inap RS per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"13,640,502"
SUMBA TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"10,471,142"
GUNUNG MAS,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"6,784,261"
KOTA DUMAI,Rawat Inap RS per 100.000 penduduk/ minggu,RIAU,31/08/2021,"17,009,876"
KOTA GORONTALO,Rawat Inap RS per 100.000 penduduk/ minggu,GORONTALO,31/08/2021,"30,278,925"
KOTA BINJAI,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"2,247,217"
MINAHASA UTARA,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"28,980,942"
KARIMUN,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. RIAU,31/08/2021,"11,997,291"
NABIRE,Rawat Inap RS per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"33,901,753"
KOTA BANJARMASIN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"46,347,703"
HALMAHERA TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"4,106,481"
BANGGAI KEPULAUAN,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"4,795,916"
KOTA LHOKSEUMAWE,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"10,399,299"
KOTA PALOPO,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"42,703,911"
NGADA,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"1,451,427"
KOTA MALANG,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"55,898,356"
KAYONG UTARA,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"6,195,503"
KOTA PAYAKUMBUH,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"12,752,662"
KOTA SUKABUMI,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"22,719,562"
SOPPENG,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"9,957,847"
GUNUNGKIDUL,Rawat Inap RS per 100.000 penduduk/ minggu,DI YOGYAKARTA,31/08/2021,"8,171,626"
SIAK,Rawat Inap RS per 100.000 penduduk/ minggu,RIAU,31/08/2021,"8,375,281"
LUWU TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"30,597,551"
BOLAANG MONGONDOW TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,
KOTA TEBING TINGGI,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"40,389,736"
KOTA SURAKARTA,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"54,253,625"
HULU SUNGAI TENGAH,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"7,149,139"
MIMIKA,Rawat Inap RS per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"19,294,449"
PARIGI MOUTONG,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"10,847,594"
KEPULAUAN ANAMBAS,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. RIAU,31/08/2021,"39,398"
ACEH BARAT,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"4,640,796"
SUMBA BARAT,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"8,877,765"
BALANGAN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"29,724,124"
MOROWALI,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"10,886,755"
JEMBRANA,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"31,962,945"
KLUNGKUNG,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"74,466,933"
KOTA METRO,Rawat Inap RS per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"45,568,864"
SABU RAIJUA,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"0,279318"
KOTA TANJUNG PINANG,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. RIAU,31/08/2021,"26,555,925"
BARITO TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"2,229,667"
BELU,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"11,661,139"
KOTA YOGYAKARTA,Rawat Inap RS per 100.000 penduduk/ minggu,DI YOGYAKARTA,31/08/2021,"35,304,728"
KOTA JAMBI,Rawat Inap RS per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"36,468,978"
ACEH TAMIANG,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"8,547,325"
KOTA SOLOK,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"58,549,583"
KOTA SAWAHLUNTO,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"13,632,686"
KOTA PADANG,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"48,132,245"
BENGKAYANG,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"5,121,402"
PASER,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"14,641,281"
SIGI,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"58,436"
LINGGA,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. RIAU,31/08/2021,"569,278"
BADUNG,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"37,894,952"
BARITO SELATAN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"17,447,762"
ACEH BESAR,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"1,859,047"
BANGKA BARAT,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"1,165,459"
PENAJAM PASER UTARA,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"14,334,721"
GIANYAR,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"38,691,084"
KUTAI KARTANEGARA,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"53,009,097"
BANGKA SELATAN,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"10,757,776"
NATUNA,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. RIAU,31/08/2021,"11,877,285"
KEPULAUAN MENTAWAI,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"5,455,208"
SUMBA TENGAH,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"612,751"
TABANAN,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"3,030,582"
PULAU TALIABU,Rawat Inap RS per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"3,690,377"
TOJO UNA UNA,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"14,636,721"
MINAHASA SELATAN,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"23,192,741"
BANGGAI,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"16,807,115"
KOTA PEKANBARU,Rawat Inap RS per 100.000 penduduk/ minggu,RIAU,31/08/2021,"48,446,266"
KOTA BUKITTINGGI,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"57,051,575"
KOTA MADIUN,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"142,959,888"
KOTA BALIKPAPAN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"50,746,724"
TANAH LAUT,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"30,552,283"
KOTA BANJARBARU,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"33,117,028"
KOTA TOMOHON,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"72,449,148"
KOTA CIREBON,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"16,383,265"
TANA TORAJA,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"24,752,298"
KOTA PADANG PANJANG,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"41,599,154"
BANGLI,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"40,068,906"
KOTA KUPANG,Rawat Inap RS per 100.000 penduduk/ minggu,NTT,31/08/2021,"30,208,024"
KOTA PALANGKARAYA,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"105,659,718"
KOTA PEMATANGSIANTAR,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"37,239,106"
KULON PROGO,Rawat Inap RS per 100.000 penduduk/ minggu,DI YOGYAKARTA,31/08/2021,"8,550,958"
BOVEN DIGOEL,Rawat Inap RS per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"46,311,975"
BANGKA,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"52,562,429"
KOTA SABANG,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"50,030,346"
NUNUKAN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN UTARA,31/08/2021,"10,936,141"
MAHAKAM ULU,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"35,799,778"
KOTA PALU,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"75,642,668"
BUOL,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"9,457,973"
KOTA MEDAN,Rawat Inap RS per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"64,644,087"
MOROWALI UTARA,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"14,716,356"
KOTA DENPASAR,Rawat Inap RS per 100.000 penduduk/ minggu,BALI,31/08/2021,"57,845,249"
TABALONG,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"22,659,732"
BELITUNG,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"25,296,176"
KUTAI TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"24,488,512"
SLEMAN,Rawat Inap RS per 100.000 penduduk/ minggu,DI YOGYAKARTA,31/08/2021,"28,381,115"
KOTA BLITAR,Rawat Inap RS per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"86,504,847"
BANTUL,Rawat Inap RS per 100.000 penduduk/ minggu,DI YOGYAKARTA,31/08/2021,"16,702,584"
POSO,Rawat Inap RS per 100.000 penduduk/ minggu,SULAWESI TENGAH,31/08/2021,"19,354,487"
SORONG,Rawat Inap RS per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"5,175,046"
BANGKA TENGAH,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"17,560,222"
KOTA TARAKAN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN UTARA,31/08/2021,"34,229,122"
MALINAU,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN UTARA,31/08/2021,"24,017,513"
TANA TIDUNG,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN UTARA,31/08/2021,0
KUTAI BARAT,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"15,492,618"
KOTA BANDA ACEH,Rawat Inap RS per 100.000 penduduk/ minggu,ACEH,31/08/2021,"107,938,301"
BELITUNG TIMUR,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"9,383,172"
KOTA BONTANG,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"124,659,239"
KOTA PANGKAL PINANG,Rawat Inap RS per 100.000 penduduk/ minggu,KEP. BANGKA BELITUNG,31/08/2021,"48,237,355"
BERAU,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN TIMUR,31/08/2021,"5,837,493"
BULUNGAN,Rawat Inap RS per 100.000 penduduk/ minggu,KALIMANTAN UTARA,31/08/2021,"27,821,935"
BURU,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
BUTON SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
DEIYAI,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
DOGIYAI,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
INTAN JAYA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
KEPULAUAN ARU,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
KONAWE KEPULAUAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
MAMBERAMO RAYA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
MANOKWARI SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
MAYBRAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
PEGUNUNGAN ARFAK,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
PUNCAK JAYA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"0,772511"
MUNA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,885324"
KEPULAUAN SULA,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"0,982067"
BUTON TENGAH,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"1,072,329"
MANDAILING NATAL,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,094,859"
PANIAI,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"116,789"
YALIMO,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"1,481,767"
BURU SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"1,587,352"
PADANG LAWAS UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,739,221"
PUNCAK,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"1,772,563"
NIAS SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,836,429"
KUDUS,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,921,512"
PEKALONGAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"2,105,893"
OGAN KOMERING ILIR,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"2,110,625"
SAROLANGUN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"2,287,343"
SERAM BAGIAN BARAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"231,095"
GROBOGAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"2,535,868"
SERAM BAGIAN TIMUR,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"2,636,111"
KEPULAUAN TANIMBAR,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"2,663,589"
MALUKU BARAT DAYA,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"2,717,428"
EMPAT LAWANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"2,733,169"
KEPULAUAN SELAYAR,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"2,938,627"
BIMA,Kasus Konfirmasi per 100.000 penduduk/ minggu,NTB,31/08/2021,"2,947,418"
MUSI RAWAS UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"304,516"
BUTON UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"3,143,517"
KAUR,Kasus Konfirmasi per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"3,230,992"
KOTA SUNGAI PENUH,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"3,384,858"
BENGKULU SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"3,422,548"
HALMAHERA TENGAH,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"3,515,989"
NDUGA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"3,588,538"
MALUKU TENGAH,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"3,723,414"
TULANG BAWANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"3,897,589"
PEGUNUNGAN BINTANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"3,898,483"
KOTA TUAL,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"3,909,253"
LAMPUNG UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"4,022,047"
KOTA BAU BAU,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"4,078,589"
PEMALANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"4,078,959"
OGAN KOMERING ULU,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"4,238,669"
LAHAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"4,322,185"
BANYUASIN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"4,327,259"
SUMENEP,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"4,467,945"
SUPIORI,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"4,816,492"
MUNA BARAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"4,823,403"
OGAN KOMERING ULU SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"4,842,172"
BLORA,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"4,857,766"
BUTON,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"4,883,623"
BATANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"4,901,076"
PATI,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"4,910,685"
SERANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"4,947,004"
GARUT,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"4,953,035"
MURUNG RAYA,Kasus Konfirmasi per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"5,035,585"
HALMAHERA BARAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"506,218"
BANGKALAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"5,183,475"
SELUMA,Kasus Konfirmasi per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"5,542,483"
PAMEKASAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"5,567,123"
PASURUAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"5,574,893"
TAPANULI SELATAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"562,153"
PURWAKARTA,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"5,648,199"
KOTA AMBON,Kasus Konfirmasi per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"5,694,304"
OGAN ILIR,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"5,696,149"
TAPANULI TENGAH,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"5,803,508"
PADANG PARIAMAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"5,930,087"
LANNY JAYA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"6,023,068"
TANGERANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"6,030,502"
SEMARANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"6,059,487"
NIAS BARAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"6,070,908"
WAROPEN,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"612,839"
PENUKAL ABAB LEMATANG ILIR,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"615,533"
REMBANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"6,222,272"
JEPARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"6,231,287"
SAMPANG,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"6,292,826"
TAMBRAUW,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"6,344,775"
PESISIR BARAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"6,362,456"
KOTA PEKALONGAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"6,454,819"
TAKALAR,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"66,953"
PADANG LAWAS,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"6,699,943"
MUSI BANYUASIN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"6,749,268"
KENDAL,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"6,751,158"
CIREBON,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"6,752,427"
SITUBONDO,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"6,817,908"
CIANJUR,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"6,868,029"
NIAS,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"690,541"
ASMAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"6,906,486"
TUBAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"7,021,581"
KOTA PAGAR ALAM,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"7,066,389"
KOLAKA UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"7,070,863"
NIAS UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"7,148,627"
MUSI RAWAS,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"7,233,238"
ACEH TENGGARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,ACEH,31/08/2021,"729,664"
BOLAANG MONGONDOW UTARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"7,356,908"
KOTA PADANGSIDIMPUAN,Kasus Konfirmasi per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"7,382,638"
TOLIKARA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"7,411,051"
MAMBERAMO TENGAH,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA,31/08/2021,"7,435,497"
TEGAL,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"7,448,743"
ACEH TIMUR,Kasus Konfirmasi per 100.000 penduduk/ minggu,ACEH,31/08/2021,"7,462,248"
ALOR,Kasus Konfirmasi per 100.000 penduduk/ minggu,NTT,31/08/2021,"7,688,685"
KAIMANA,Kasus Konfirmasi per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"7,723,678"
WAKATOBI,Kasus Konfirmasi per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"7,785,206"
PROBOLINGGO,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"7,866,037"
BANDUNG BARAT,Kasus Konfirmasi per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"7,867,769"
